event_ts_ms,udp_ts,ws_ts,delta_ms,faster_source
1771559435433,1771559432576620,1771559432576590,0.030,WS
1771559435441,1771559432583746,1771559432583735,0.011,WS
1771559435447,1771559432602055,1771559432602018,0.037,WS
1771559435601,1771559432745911,1771559432745878,0.033,WS
1771559435651,1771559432799685,1771559432799621,0.064,WS
1771559435885,1771559433042161,1771559433042148,0.013,WS
1771559435954,1771559433102994,1771559433102963,0.031,WS
1771559436006,1771559433174890,1771559433174801,0.089,WS
1771559436010,1771559433174900,1771559433174808,0.092,WS
1771559436108,1771559433264533,1771559433264499,0.034,WS
1771559436202,1771559433346743,1771559433346706,0.037,WS
1771559436295,1771559433440346,1771559433440305,0.041,WS
1771559436338,1771559433491146,1771559433491078,0.068,WS
1771559436361,1771559433596938,1771559433596876,0.062,WS
1771559436434,1771559433596951,1771559433596884,0.067,WS
1771559436435,1771559433596953,1771559433596887,0.066,WS
1771559436470,1771559433615126,1771559433615047,0.079,WS
1771559436589,1771559433732601,1771559433732571,0.030,WS
1771559436651,1771559433940830,1771559433940897,-0.067,UDP
1771559436699,1771559433940833,1771559433940908,-0.075,UDP
1771559436712,1771559433940985,1771559433940995,-0.010,UDP
1771559436744,1771559433940987,1771559433941009,-0.022,UDP
1771559436778,1771559433940989,1771559433941014,-0.025,UDP
1771559436782,1771559433941008,1771559433941058,-0.050,UDP
1771559436794,1771559433941010,1771559433941064,-0.054,UDP
1771559436796,1771559433941011,1771559433941066,-0.055,UDP
1771559436797,1771559433941012,1771559433941066,-0.054,UDP
1771559436798,1771559433944870,1771559433944875,-0.005,UDP
1771559436799,1771559433944883,1771559433944884,-0.001,UDP
1771559436800,1771559433944883,1771559433944886,-0.003,UDP
1771559436801,1771559433944891,1771559433944890,0.001,WS
1771559436801,1771559433944911,1771559433946925,-2.014,UDP
1771559436801,1771559433968800,1771559433946940,21.860,WS
1771559436802,1771559433968814,1771559433968738,0.076,WS
1771559436803,1771559433969168,1771559433968755,0.413,WS
1771559436804,1771559433969299,1771559433968769,0.530,WS
1771559436804,1771559433969503,1771559433978710,-9.207,UDP
1771559436804,1771559433978771,1771559433978727,0.044,WS
1771559436805,1771559433978795,1771559433978737,0.058,WS
1771559436806,1771559433978867,1771559433978741,0.126,WS
1771559436807,1771559433978873,1771559433978743,0.130,WS
1771559436808,1771559433978884,1771559433978751,0.133,WS
1771559436809,1771559433978894,1771559433978759,0.135,WS
1771559436810,1771559433978935,1771559433978907,0.028,WS
1771559436811,1771559433979018,1771559433978928,0.090,WS
1771559436812,1771559433979044,1771559433978943,0.101,WS
1771559436813,1771559433989294,1771559433978994,10.300,WS
1771559436814,1771559433997299,1771559433978999,18.300,WS
1771559436815,1771559433997335,1771559433979002,18.333,WS
1771559436817,1771559433997342,1771559433980253,17.089,WS
1771559436818,1771559433997343,1771559433980257,17.086,WS
1771559436819,1771559433997345,1771559433980259,17.086,WS
1771559436820,1771559433997348,1771559433980261,17.087,WS
1771559436821,1771559433997350,1771559433980264,17.086,WS
1771559436822,1771559433997354,1771559433989193,8.161,WS
1771559436823,1771559433997364,1771559433989204,8.160,WS
1771559436824,1771559433997405,1771559433989244,8.161,WS
1771559436825,1771559433997526,1771559433989276,8.250,WS
1771559436826,1771559433998743,1771559433997223,1.520,WS
1771559436827,1771559433998859,1771559433997251,1.608,WS
1771559436828,1771559433998925,1771559433997260,1.665,WS
1771559436831,1771559433998950,1771559433997266,1.684,WS
1771559436833,1771559433998957,1771559433997272,1.685,WS
1771559436835,1771559433998958,1771559433997277,1.681,WS
1771559436836,1771559433998968,1771559433997282,1.686,WS
1771559436838,1771559433998970,1771559433997288,1.682,WS
1771559436839,1771559433998972,1771559433997294,1.678,WS
1771559436841,1771559433998980,1771559433997323,1.657,WS
1771559436843,1771559433998991,1771559433998678,0.313,WS
1771559436845,1771559433998997,1771559433998684,0.313,WS
1771559436851,1771559433998999,1771559433998690,0.309,WS
1771559436853,1771559433999000,1771559433998697,0.303,WS
1771559436861,1771559434004973,1771559434004962,0.011,WS
1771559436871,1771559434013067,1771559434012995,0.072,WS
1771559436874,1771559434017000,1771559434016959,0.041,WS
1771559436893,1771559434039649,1771559434039483,0.166,WS
1771559436916,1771559434061686,1771559434061653,0.033,WS
1771559436919,1771559434061700,1771559434061663,0.037,WS
1771559436921,1771559434065155,1771559434065150,0.005,WS
1771559436922,1771559434065168,1771559434065160,0.008,WS
1771559436923,1771559434067457,1771559434067307,0.150,WS
1771559436924,1771559434069292,1771559434069265,0.027,WS
1771559436927,1771559434071751,1771559434071765,-0.014,UDP
1771559436930,1771559434072810,1771559434072784,0.026,WS
1771559436931,1771559434076975,1771559434076861,0.114,WS
1771559436954,1771559434099744,1771559434099712,0.032,WS
1771559436957,1771559434121400,1771559434110344,11.056,WS
1771559436959,1771559434121412,1771559434121381,0.031,WS
1771559436961,1771559434121414,1771559434121392,0.022,WS
1771559436978,1771559434136019,1771559434135984,0.035,WS
1771559436982,1771559434136029,1771559434135998,0.031,WS
1771559436989,1771559434143733,1771559434138809,4.924,WS
1771559436996,1771559434143746,1771559434143712,0.034,WS
1771559437000,1771559434150432,1771559434150432,0.000,WS
1771559437001,1771559434154066,1771559434154138,-0.072,UDP
1771559437003,1771559434154159,1771559434154154,0.005,WS
1771559437007,1771559434154174,1771559434154160,0.014,WS
1771559437010,1771559434160512,1771559434160454,0.058,WS
1771559437017,1771559434169068,1771559434169004,0.064,WS
1771559437018,1771559434169074,1771559434169010,0.064,WS
1771559437019,1771559434169087,1771559434169012,0.075,WS
